,job_in_apr,work_in_apr,src_income_before_apr,lost_income_in_apr,total_income_in_apr,uif_in_apr,grant_from_gov_ques,grant_from_gov
5363,No,No,Government grants,Yes,1300.0,Yes,Yes,Child Support Grant (CSG)
5365,No,No,Income from employment,No,3400.0,Yes,Yes,Child Support Grant (CSG)
5368,No,No,Income from employment,Yes,0.0,Yes,Yes,Child Support Grant (CSG)
5374,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
5382,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
5383,No,No,Government grants,No,940.0,No,Yes,Child Support Grant (CSG)
5414,No,No,Household had no income in February,Yes,0.0,No,Yes,Child Support Grant (CSG)
5418,No,Yes,Government grants,Yes,2220.0,Yes,Yes,Child Support Grant (CSG)
5425,No,No,Government grants,No,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
5428,No,No,Household had no income in February,No,0.0,Yes,Yes,Disability Grant
5432,No,No,Income from employment,Yes,1800.0,Yes,Yes,Disability Grant
5439,No,No,Government grants,Yes,1980.0,Yes,Yes,Child Support Grant (CSG)
5449,No,No,Income from employment,Yes,4400.0,Yes,Yes,Child Support Grant (CSG)
5457,No,No,Income from employment,Yes,6500.0,No,Yes,Child Support Grant (CSG)
5460,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
5477,No,No,Money from friends or family,No,1000.0,Yes,Yes,Foster Child Grant
5482,No,No,Income from a business,Yes,2400.0,Yes,Yes,Old Age Pension Grant (OAP)
5483,No,No,Government grants,No,2700.0,No,Yes,Child Support Grant (CSG)
5488,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
5493,No,No,Government grants,Yes,5009.0,Yes,Yes,Old Age Pension Grant (OAP)
5507,No,No,Government grants,No,0.0,Yes,Yes,Old Age Pension Grant (OAP)
5550,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5554,No,No,Government grants,No,3000.0,Yes,Yes,Care Dependency Grant
5556,No,No,Government grants,No,4200.0,Yes,Yes,Old Age Pension Grant (OAP)
5562,No,No,Government grants,Yes,1220.0,No,Yes,Old Age Pension Grant (OAP)
5565,No,No,Government grants,No,1750.0,Yes,Yes,Child Support Grant (CSG)
5575,No,No,Income from employment,Yes,2860.0,No,Yes,Child Support Grant (CSG)
5581,No,No,Government grants,No,4280.0,Yes,Yes,Child Support Grant (CSG)
5598,No,No,Government grants,No,3460.0,Yes,Yes,War veterans grant
5600,No,No,Government grants,Yes,,No,Yes,Care Dependency Grant
5602,No,No,Government grants,No,1500.0,Yes,Yes,Child Support Grant (CSG)
5604,No,No,Government grants,No,1900.0,Yes,Yes,Old Age Pension Grant (OAP)
5609,No,No,Household had no income in February,No,0.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
5610,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
5615,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
5636,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5639,No,No,Government grants,No,4450.0,No,Yes,Child Support Grant (CSG)
5656,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
5659,No,No,Government grants,No,5000.0,Yes,Yes,Disability Grant
5674,No,No,Government grants,No,2250.0,Yes,Yes,Disability Grant
5693,No,No,Government grants,Yes,750.0,Yes,Yes,Child Support Grant (CSG)
5694,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
5702,No,No,Government grants,No,880.0,No,Yes,Foster Child Grant
5704,No,No,Government grants,No,6000.0,No,Yes,Old Age Pension Grant (OAP)
5714,No,No,Government grants,No,2110.0,Yes,Yes,Old Age Pension Grant (OAP)
5716,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
5717,No,No,Government grants,Yes,5000.0,No,Yes,Child Support Grant (CSG)
5718,No,No,Government grants,Yes,2000.0,Yes,Yes,Other (specify)
5719,No,No,Household had no income in February,Yes,0.0,Yes,Yes,Child Support Grant (CSG)
5734,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
5736,No,No,Income from a business,Yes,,No,Yes,Disability Grant
5738,No,No,Government grants,No,2200.0,Yes,Yes,Child Support Grant (CSG)
5749,No,No,Household had no income in February,No,6000.0,Yes,Yes,Old Age Pension Grant (OAP)
5776,No,No,Government grants,No,1200.0,No,Yes,Child Support Grant (CSG)
5777,No,No,Money from friends or family,No,1800.0,Yes,Yes,Child Support Grant (CSG)
5779,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
5791,No,No,Income from employment,No,6000.0,Yes,Yes,Disability Grant
5800,No,No,Government grants,No,4000.0,Yes,Yes,Old Age Pension Grant (OAP)
5819,No,No,Government grants,Yes,12000.0,Yes,Yes,Child Support Grant (CSG)
5821,No,No,Government grants,Yes,2300.0,Yes,Yes,Child Support Grant (CSG)
5843,No,No,Income from employment,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
5846,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
5854,No,No,Income from employment,No,,Yes,Yes,Other (specify)
5858,No,No,Government grants,Yes,6000.0,No,Yes,Old Age Pension Grant (OAP)
5863,No,No,Government grants,No,3200.0,No,Yes,Disability Grant
5881,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5882,No,No,Household had no income in February,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
5883,No,No,Government grants,No,,Yes,Yes,Disability Grant
5894,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
5913,No,No,Income from a business,Yes,4940.0,No,Yes,Disability Grant
5921,No,No,Government grants,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
5926,No,No,Government grants,No,800.0,Yes,Yes,Child Support Grant (CSG)
5928,No,No,Money from friends or family,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
5933,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
5935,No,No,Income from employment,No,,Yes,Yes,Other (specify)
5944,No,No,Government grants,Yes,880.0,No,Yes,Child Support Grant (CSG)
5945,No,No,Government grants,Yes,2190.0,No,Yes,Child Support Grant (CSG)
5949,No,No,Government grants,No,3000.0,Yes,Yes,Child Support Grant (CSG)
5951,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
5952,No,No,Government grants,Yes,4100.0,Yes,Yes,Old Age Pension Grant (OAP)
5974,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
5979,No,No,Government grants,No,1800.0,Yes,Yes,Child Support Grant (CSG)
5982,No,No,Household had no income in February,No,,No,Yes,Child Support Grant (CSG)
5985,No,No,Income from employment,Yes,2150.0,Yes,Yes,Old Age Pension Grant (OAP)
5991,No,No,Government grants,Yes,3200.0,No,Yes,Child Support Grant (CSG)
5996,No,No,Government grants,No,1200.0,Yes,Yes,Child Support Grant (CSG)
6003,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6007,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
6009,No,No,Household had no income in February,No,700.0,Yes,Yes,Child Support Grant (CSG)
6011,No,No,Household had no income in February,No,2013.0,Yes,Yes,Old Age Pension Grant (OAP)
6015,No,No,Government grants,Yes,2500.0,No,Yes,Old Age Pension Grant (OAP)
6036,No,No,Income from employment,No,15000.0,Yes,Yes,Child Support Grant (CSG)
6043,No,No,Government grants,Yes,3380.0,Yes,Yes,Child Support Grant (CSG)
6048,No,No,Government grants,No,,Yes,Yes,Disability Grant
6053,No,No,Money from friends or family,Yes,8000.0,No,Yes,Other (specify)
6057,No,No,Income from employment,Yes,5450.0,Yes,Yes,Child Support Grant (CSG)
6059,No,No,Income from employment,No,,Yes,Yes,Other (specify)
6064,No,No,Other (specify),Yes,3000.0,Yes,Yes,Other (specify)
6077,No,No,Income from employment,Yes,880.0,Yes,Yes,Child Support Grant (CSG)
6078,No,No,Household had no income in February,No,0.0,Yes,Yes,Old Age Pension Grant (OAP)
6082,No,No,Government grants,Yes,,Yes,Yes,Foster Child Grant
6084,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6085,No,No,Government grants,No,3590.0,No,Yes,Disability Grant
6088,No,No,Government grants,No,,No,Yes,Disability Grant
6089,No,No,Income from a business,No,6000.0,No,Yes,Other (specify)
6095,No,No,Government grants,No,1900.0,No,Yes,Child Support Grant (CSG)
6096,No,No,Income from employment,Yes,,Yes,Yes,Child Support Grant (CSG)
6110,No,No,Government grants,No,750.0,No,Yes,Child Support Grant (CSG)
6120,No,No,Household had no income in February,No,,No,Yes,Old Age Pension Grant (OAP)
6132,No,No,Income from employment,Yes,1408.0,Yes,Yes,Child Support Grant (CSG)
6133,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
6138,No,No,Government grants,No,4000.0,No,Yes,Child Support Grant (CSG)
6144,No,No,Government grants,No,1380.0,Yes,Yes,Other (specify)
6145,No,No,Income from employment,No,,Yes,Yes,Other (specify)
6148,No,No,Government grants,No,750.0,Yes,Yes,Child Support Grant (CSG)
6150,No,No,Household had no income in February,Yes,,Yes,Yes,Child Support Grant (CSG)
6183,No,No,Income from employment,Yes,5000.0,No,Yes,Child Support Grant (CSG)
6184,No,No,Government grants,Yes,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
6185,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6186,No,No,Government grants,No,2220.0,Yes,Yes,Child Support Grant (CSG)
6187,No,No,Government grants,No,700.0,Yes,Yes,Child Support Grant (CSG)
6189,No,No,Income from employment,No,2900.0,Yes,Yes,Child Support Grant (CSG)
6197,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
6207,No,No,Income from employment,Yes,3000.0,No,Yes,Child Support Grant (CSG)
6213,No,No,Government grants,Yes,0.0,Yes,Yes,Child Support Grant (CSG)
6220,No,No,Government grants,No,2640.0,Yes,Yes,Social relief or distress grant
6223,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
6224,No,No,Government grants,No,2200.0,No,Yes,Child Support Grant (CSG)
6233,No,No,Government grants,Yes,0.0,No,Yes,Child Support Grant (CSG)
6240,No,No,Income from employment,No,2640.0,No,Yes,Child Support Grant (CSG)
6244,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6251,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
6256,No,Yes,Income from employment,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6259,No,No,Income from employment,Yes,2280.0,Yes,Yes,Child Support Grant (CSG)
6260,No,No,Government grants,Yes,,No,Yes,R350 COVID-19 Social Relief of Distress Grant
6268,No,No,Government grants,No,880.0,No,Yes,Child Support Grant (CSG)
6277,No,No,Income from employment,No,5000.0,Yes,Yes,Child Support Grant (CSG)
6291,No,No,Government grants,Yes,2500.0,Yes,Yes,Child Support Grant (CSG)
6292,No,No,Government grants,No,1200.0,No,Yes,Disability Grant
6309,No,No,Income from employment,No,2000.0,No,Yes,Child Support Grant (CSG)
6311,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6312,No,No,Government grants,No,440.0,Yes,Yes,Child Support Grant (CSG)
6314,No,No,Household had no income in February,No,,Yes,Yes,Old Age Pension Grant (OAP)
6316,No,Yes,Income from employment,Yes,4200.0,Yes,Yes,Child Support Grant (CSG)
6327,No,No,Income from a business,No,4900.0,Yes,Yes,Old Age Pension Grant (OAP)
6339,No,No,Government grants,No,3100.0,Yes,Yes,Old Age Pension Grant (OAP)
6350,No,No,Government grants,No,,No,Yes,Old Age Pension Grant (OAP)
6365,No,No,Income from a business,No,,Yes,Yes,Foster Child Grant
6374,No,Yes,Money from friends or family,Yes,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
6375,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6386,No,No,Government grants,Yes,800.0,Yes,Yes,Child Support Grant (CSG)
6391,No,No,Government grants,No,880.0,Yes,Yes,Child Support Grant (CSG)
6395,No,No,Government grants,Yes,7000.0,Yes,Yes,Child Support Grant (CSG)
6400,No,No,Government grants,No,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
6409,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
6422,No,No,Government grants,Yes,6100.0,No,Yes,Child Support Grant (CSG)
6432,No,No,Income from a business,No,2500.0,No,Yes,Other (specify)
6433,No,No,Government grants,No,3700.0,Yes,Yes,Child Support Grant (CSG)
6434,No,No,Government grants,No,2300.0,No,Yes,Child Support Grant (CSG)
6436,No,No,Government grants,No,4400.0,No,Yes,Old Age Pension Grant (OAP)
6441,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
6447,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
6451,No,No,Government grants,Yes,,No,Yes,Old Age Pension Grant (OAP)
6452,No,No,Income from employment,No,500.0,Yes,Yes,Other (specify)
6461,No,No,Government grants,Yes,1750.0,No,Yes,Child Support Grant (CSG)
6464,No,No,Government grants,No,,Yes,Yes,Foster Child Grant
6474,No,No,Income from employment,Yes,2000.0,No,Yes,Care Dependency Grant
6475,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6478,No,Yes,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6487,No,No,Income from employment,Yes,1400.0,Yes,Yes,Child Support Grant (CSG)
6495,No,No,Government grants,Yes,1300.0,Yes,Yes,Old Age Pension Grant (OAP)
6499,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
6506,No,Yes,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6511,No,No,Income from employment,Yes,1900.0,Yes,Yes,Child Support Grant (CSG)
6516,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
6544,No,No,Household had no income in February,No,800.0,No,Yes,Child Support Grant (CSG)
6545,No,No,Government grants,Yes,,Yes,Yes,Foster Child Grant
6547,No,No,Income from employment,Yes,780.0,No,Yes,Child Support Grant (CSG)
6553,No,No,Government grants,Yes,800.0,Yes,Yes,Child Support Grant (CSG)
6554,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6555,No,No,Income from a business,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6560,No,No,Government grants,Yes,4000.0,Yes,Yes,Child Support Grant (CSG)
6567,No,No,Government grants,No,,Yes,Yes,Social relief or distress grant
6569,No,No,Government grants,No,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
6580,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
6584,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6615,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
6617,No,No,Income from employment,No,2200.0,Yes,Yes,Child Support Grant (CSG)
6618,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
6628,No,No,Income from employment,Yes,1850.0,Yes,Yes,Child Support Grant (CSG)
6629,No,No,Government grants,Yes,2700.0,Yes,Yes,Child Support Grant (CSG)
6632,No,No,Government grants,Yes,2100.0,Yes,Yes,Child Support Grant (CSG)
6633,No,No,Government grants,No,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
6634,No,No,Income from employment,Yes,,Yes,Yes,Disability Grant
6635,No,No,Income from employment,No,15000.0,No,Yes,Other (specify)
6662,No,No,Government grants,Yes,8500.0,No,Yes,Child Support Grant (CSG)
6665,No,No,Income from employment,No,,No,Yes,Child Support Grant (CSG)
6671,No,No,Government grants,No,3500.0,Yes,Yes,Other (specify)
6672,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6673,No,No,Government grants,Yes,4000.0,Yes,Yes,Child Support Grant (CSG)
6678,No,No,Government grants,No,1500.0,Yes,Yes,Child Support Grant (CSG)
6689,No,No,Government grants,No,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
6691,No,No,Income from employment,No,6000.0,Yes,Yes,Child Support Grant (CSG)
6713,No,No,Government grants,No,880.0,Yes,Yes,Child Support Grant (CSG)
6714,No,No,Government grants,Yes,1750.0,Yes,Yes,Old Age Pension Grant (OAP)
6727,No,No,Government grants,No,860.0,No,Yes,Child Support Grant (CSG)
6736,No,Yes,Government grants,No,3900.0,Yes,Yes,Disability Grant
6740,No,No,Government grants,No,1870.0,Yes,Yes,Child Support Grant (CSG)
6754,No,No,Income from employment,No,,No,Yes,Social relief or distress grant
6757,No,No,Government grants,No,840.0,No,Yes,Child Support Grant (CSG)
6758,No,No,Government grants,Yes,740.0,Yes,Yes,Child Support Grant (CSG)
6769,No,No,Government grants,Yes,2700.0,No,Yes,Child Support Grant (CSG)
6798,No,No,Household had no income in February,Yes,1400.0,Yes,Yes,Child Support Grant (CSG)
6799,No,No,Government grants,Yes,3000.0,Yes,Yes,Child Support Grant (CSG)
6805,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
6809,No,No,Government grants,Yes,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
6825,No,No,Household had no income in February,No,1000.0,Yes,Yes,Other (specify)
6834,No,No,Government grants,No,1800.0,Yes,Yes,Child Support Grant (CSG)
6838,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
6843,No,No,Income from employment,Yes,0.0,No,Yes,Child Support Grant (CSG)
6847,No,No,Income from a business,No,3000.0,No,Yes,Disability Grant
6891,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6902,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
6914,No,No,Government grants,No,6000.0,Yes,Yes,Disability Grant
6917,No,No,Income from employment,Yes,3500.0,No,Yes,Child Support Grant (CSG)
6918,No,No,Government grants,No,3100.0,No,Yes,Old Age Pension Grant (OAP)
6932,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
6937,No,No,Government grants,Yes,10000.0,Yes,Yes,Old Age Pension Grant (OAP)
6945,No,No,Government grants,Yes,2000.0,Yes,Yes,Disability Grant
6957,No,No,Government grants,No,2000.0,No,Yes,Old Age Pension Grant (OAP)
6960,No,No,Government grants,No,,No,Yes,Child Support Grant (CSG)
6964,No,No,Government grants,No,1800.0,Yes,Yes,Child Support Grant (CSG)
6965,No,No,Government grants,Yes,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
6967,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
6971,No,No,Government grants,Yes,2100.0,Yes,Yes,Old Age Pension Grant (OAP)
6977,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
6985,No,No,Government grants,No,1400.0,Yes,Yes,Child Support Grant (CSG)
6988,No,No,Government grants,Yes,1800.0,No,Yes,Disability Grant
6991,No,No,Government grants,No,1700.0,Yes,Yes,Old Age Pension Grant (OAP)
7000,No,No,Income from employment,Yes,1600.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
7002,No,No,Government grants,No,2680.0,Yes,Yes,Old Age Pension Grant (OAP)
7006,No,No,Government grants,No,2500.0,Yes,Yes,Disability Grant
7007,No,No,Other (specify),Yes,3000.0,Yes,Yes,Other (specify)
7008,No,No,Government grants,No,,Yes,Yes,Disability Grant
7014,No,No,Government grants,Yes,1700.0,No,Yes,Old Age Pension Grant (OAP)
7015,No,No,Government grants,No,10000.0,No,Yes,Other (specify)
7017,No,No,Government grants,Yes,2800.0,Yes,Yes,Child Support Grant (CSG)
7026,No,No,Government grants,Yes,,Yes,Yes,Child Support Grant (CSG)
7027,No,No,Government grants,No,4100.0,Yes,Yes,Old Age Pension Grant (OAP)
7037,No,No,Household had no income in February,No,0.0,Yes,Yes,Old Age Pension Grant (OAP)
7039,No,No,Government grants,Yes,2500.0,Yes,Yes,Old Age Pension Grant (OAP)
7055,No,No,Income from employment,Yes,,No,Yes,Child Support Grant (CSG)
7064,No,No,Government grants,Yes,1700.0,Yes,Yes,Child Support Grant (CSG)
7071,No,No,Income from employment,No,,Yes,Yes,Other (specify)
7072,No,No,Government grants,No,2800.0,No,Yes,Social relief or distress grant
